dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,301391,11,1,0.09090909090909091,0.45,0.5,-0.07627013325691223,-0.07153742015361786,0.0047327131032943726,0.0,nan
amazon-toys-and-games,valid,306312,14,4,0.2857142857142857,0.25,0.475,-0.01708303391933441,-0.02270597219467163,-0.005622938275337219,0.2857142857142857,-0.05
amazon-toys-and-games,valid,307615,17,7,0.4117647058823529,0.8,0.425,0.11009851098060608,0.0795152485370636,-0.03058326244354248,0.23529411764705882,0.0
amazon-toys-and-games,valid,309155,37,27,0.7297297297297297,1.0,1.0,0.35515496134757996,0.31772327423095703,-0.037431687116622925,0.05405405405405406,-0.05
amazon-toys-and-games,valid,312140,12,2,0.16666666666666666,0.8,0.975,0.07211336493492126,0.06633427739143372,-0.005779087543487549,0.08333333333333333,-0.25
amazon-toys-and-games,valid,313181,11,1,0.09090909090909091,0.1,0.5,0.24297723174095154,0.21979506313800812,-0.02318216860294342,0.09090909090909091,-0.05
amazon-toys-and-games,valid,314609,31,21,0.6774193548387096,0.6,0.725,0.050952136516571045,0.06360536813735962,0.012653231620788574,0.3548387096774194,0.07272727272727272
amazon-toys-and-games,valid,317171,19,9,0.47368421052631576,1.0,0.975,0.20375540852546692,0.35149499773979187,0.14773958921432495,0.05263157894736842,0.0
amazon-toys-and-games,valid,322984,15,5,0.3333333333333333,0.4,0.2,0.1300879418849945,0.10937091708183289,-0.02071702480316162,0.2,-0.016666666666666666
amazon-toys-and-games,valid,323347,14,4,0.2857142857142857,0.95,0.35,0.1748504638671875,0.15988606214523315,-0.014964401721954346,0.21428571428571427,-0.016666666666666666
amazon-toys-and-games,valid,325010,34,24,0.7058823529411765,0.95,0.45,0.12319836020469666,0.12427675724029541,0.0010783970355987549,0.17647058823529413,-0.08333333333333333
amazon-toys-and-games,valid,325471,21,11,0.5238095238095238,0.95,1.0,0.07119140028953552,0.09370064735412598,0.022509247064590454,0.23809523809523808,0.33999999999999997
amazon-toys-and-games,valid,326824,11,1,0.09090909090909091,0.05,0.475,0.0022477805614471436,-0.011967986822128296,-0.01421576738357544,0.09090909090909091,0.0
amazon-toys-and-games,valid,331312,39,29,0.7435897435897436,0.95,0.725,0.2743334472179413,0.20190837979316711,-0.07242506742477417,0.07692307692307693,-0.05000000000000001
amazon-toys-and-games,valid,333091,20,10,0.5,1.0,0.95,0.019409701228141785,0.14743968844413757,0.1280299872159958,0.05,-0.05
amazon-toys-and-games,valid,333901,30,20,0.6666666666666666,0.85,0.975,0.10518927872180939,0.11628174781799316,0.011092469096183777,0.36666666666666664,0.027272727272727268
amazon-toys-and-games,valid,337638,30,20,0.6666666666666666,1.0,0.95,0.1801781952381134,0.34272968769073486,0.16255149245262146,0.03333333333333333,0.0
amazon-toys-and-games,valid,337751,11,1,0.09090909090909091,0.9,0.5,0.12318456172943115,0.12216666340827942,-0.0010178983211517334,0.0,nan
amazon-toys-and-games,valid,340693,23,13,0.5652173913043478,1.0,0.975,0.20000788569450378,0.1805630326271057,-0.01944485306739807,0.21739130434782608,0.09000000000000001
amazon-toys-and-games,valid,340813,12,2,0.16666666666666666,0.4,0.8,0.013327419757843018,0.010454893112182617,-0.0028725266456604004,0.08333333333333333,0.65
